Id,Nome,Biblioteca de formas,ID da p´ágina,Contido por,Grupo,Status,Área de texto 1,Área de texto 2,Comentários,Assignee,Description,End Date,Estimate,Start Date,Status,T-shirt size,Title
14,Nota adesiva,Notas adesivas,2,,,,Criação de nova mensagens e ajustes,,,,,,,,,,
15,Nota adesiva,Notas adesivas,2,,,,personalização da mensagem final,,,,,,,,,,
16,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
17,Imagem do usuário,Imagens do Usuário,2,,54,,,,,,,,,,,,
18,Retângulo,,2,,54,,[QUIZ_SEARCH_NAME],,,,,,,,,,
19,Retângulo,,2,,54,,[QUIZ_SEARCH_QUESTION],,,,,,,,,,
20,Retângulo,,2,,54,,[QUESTION_ALTERNATIVE],,,,,,,,,,
21,Retângulo,,2,,54,,[QUESTION_ALTERNATIVE],,,,,,,,,,
22,Retângulo,,2,,54,,[QUESTION_ALTERNATIVE],,,,,,,,,,
23,Retângulo,,2,,54,,[QUESTION_ALTERNATIVE],,,,,,,,,,
24,Imagem do usuário,Imagens do Usuário,2,,55,,,,,,,,,,,,
25,Retângulo,,2,,55,,[QUIZ_SEARCH_NAME],,,,,,,,,,
26,Retângulo,,2,,55,,[QUIZ_SEARCH_QUESTION],,,,,,,,,,
27,Retângulo,,2,,55,,,,,,,,,,,,
28,Retângulo,,2,,55,,Deixe seu comentário aqui ...,,,,,,,,,,
29,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
30,Retângulo,,2,,,,[QUIZ_SEARCH_NAME],,,,,,,,,,
31,Retângulo,,2,,,,workspace_color,,,,,,,,,,
32,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
33,Retângulo,,2,,,,[WORKSAPCE _LOGO],,,,,,,,,,
34,Texto,Padrão,2,,,,"Obrigado por responder, sua 
opnião é muito importante para nós",,,,,,,,,,
35,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
36,Retângulo,,2,,,,PESQUISA DE SATISFAÇÃO,,,,,,,,,,
37,Retângulo,,2,,,,,,,,,,,,,,
38,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
39,Texto,Padrão,2,,,,"Obrigado por responder, sua 
opnião é muito importante para nós",,,,,,,,,,
40,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
41,LucidCardBlock,,2,,,,"Como um usuário matriculado em um curso do Smartzap que precisa responder um quiz avaliativo, quero receber uma mensagem mas clara que me direcione para o questionário
",Irei receber uma mensagem que irá me redirecionar ao quiz avaliativo do curso.,,,Irei receber uma mensagem que irá me redirecionar ao quiz avaliativo do curso.,,,,To Do,,"Como um usuário matriculado em um curso do Smartzap que precisa responder um quiz avaliativo, quero receber uma mensagem mas clara que me direcione para o questionário
"
42,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
43,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
44,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
45,LinkUnfurlBlock,,2,,,,Fluxo Whatsapp,Lucidchart,,,,,,,,,
46,Texto,Padrão,2,,,,"  Olá [USER_FIRST_NAME]!

[QUIZ_NAME]

[QUIZ_DESCRIPTION]

  Responda o quiz por aqui:
https://keeps.page.link/JN3a",,,,,,,,,,
47,Texto,Padrão,2,,,,"  Olá [USER_FIRST_NAME]!

[QUIZ_NAME]

[QUIZ_DESCRIPTION]

  Responda a pesquisa por aqui:
https://keeps.page.link/JN3a",,,,,,,,,,
48,LucidCardBlock,,2,,,,"Com as permissões de criação de conteúdo, quero criar um quiz de pesquisa para coletar o NPS do curso
","Posso criar quizzes com perguntas direcionadas a coleta do NPS de um curso. 
Posso criar apenas um quiz de NPS por curso. 
Posso selecionar a escala do meu quiz de NPS, sendo ela de 0 a 10 ou de 0 a 5. 
Para calculá-lo, o sistema irá classificar as respostas em detratores, neutros e promotores, calcular o percentual de cada grupo e fazer: NPS = % de promotores – % de detratores. O resultado varia de –100 a +100. 
Na escala de 0 a 10, notas de 0 a 6 são detratores, 7 e 8 são neutros e 9 e 10 são promotores. Depois de calcular o percentual de cada grupo, aplica-se a fórmula do NPS. 
Na escala de 0 a 5, notas de 0 a 3 são detratores, 4 é neutro e 5 são promotores. Depois de calcular o percentual de cada grupo, aplica-se a fórmula do NPS. 
Posso adicionar emojis, negrito, italico, sublinhado e taxado no título e na descrição das questões.
",,,"Posso criar quizzes com perguntas direcionadas a coleta do NPS de um curso. 
Posso criar apenas um quiz de NPS por curso. 
Posso selecionar a escala do meu quiz de NPS, sendo ela de 0 a 10 ou de 0 a 5. 
Para calculá-lo, o sistema irá classificar as respostas em detratores, neutros e promotores, calcular o percentual de cada grupo e fazer: NPS = % de promotores – % de detratores. O resultado varia de –100 a +100. 
Na escala de 0 a 10, notas de 0 a 6 são detratores, 7 e 8 são neutros e 9 e 10 são promotores. Depois de calcular o percentual de cada grupo, aplica-se a fórmula do NPS. 
Na escala de 0 a 5, notas de 0 a 3 são detratores, 4 é neutro e 5 são promotores. Depois de calcular o percentual de cada grupo, aplica-se a fórmula do NPS. 
Posso adicionar emojis, negrito, italico, sublinhado e taxado no título e na descrição das questões.
",,,,To Do,,"Com as permissões de criação de conteúdo, quero criar um quiz de pesquisa para coletar o NPS do curso
"
49,LucidCardBlock,,2,,,,"Como um usuário matriculado em um curso do Smartzap, quero responder ao NPS do curso
","Irei receber um link de redirecionamento para responder o quiz. 
Posso selecionar apenas uma nota em qualquer tipo de escala de NPS. 
Não há alternativa correta, portanto, não receberei feedback em nenhuma resposta.  
Posso voltar para o fluxo de conversa no WhatsApp. 
Não posso finalizar o curso sem responder as pesquisas.",,,"Irei receber um link de redirecionamento para responder o quiz. 
Posso selecionar apenas uma nota em qualquer tipo de escala de NPS. 
Não há alternativa correta, portanto, não receberei feedback em nenhuma resposta.  
Posso voltar para o fluxo de conversa no WhatsApp. 
Não posso finalizar o curso sem responder as pesquisas.",,,,To Do,,"Como um usuário matriculado em um curso do Smartzap, quero responder ao NPS do curso
"
50,Retângulo,,2,,,,Ajustes no fluxo do NPS,,,,,,,,,,
51,Retângulo,,2,,,,"A avaliação de NPS não será mais respondida via chat e não integrará mais a estrutura ""obrigatória"" de mensageria de um curso.",,,,,,,,,,
52,Retângulo,,2,,,,"O admin terá o poder de escolher quais cursos terão uma pesquisa de NPS e qual será sua escala de medida. A resposta da pesquisa será como os demais questionários, diretamente no navegador via smartzap view",,,,,,,,,,
53,Imagem do usuário,Imagens do Usuário,2,,,,,,,,,,,,,,
54,Grupo 1,,2,,,,,,,,,,,,,,
55,Grupo 2,,2,,,,,,,,,,,,,,
